Date,Ticker,Open,High,Low,Close,Volume
2021-05-03,AAPL,128.60637073689202,130.58359545105438,128.401839986388,129.09336853027344,75135100
2021-05-03,AMZN,174.2364959716797,174.33250427246094,168.63499450683594,169.32449340820312,117510000
2021-05-03,GOOGL,117.2762166409626,118.10139729687744,115.81777346888248,116.19366455078124,28242000
2021-05-03,META,323.6303723508017,325.991815642022,319.33406985399984,320.0682983398437,18719500
2021-05-03,MSFT,243.1524133181081,244.0640067134721,240.9646184526716,241.67469787597656,19626600
2021-05-04,AAPL,127.77848641989289,128.070688075214,123.40524078183633,124.52533721923828,137564700
2021-05-04,AMZN,167.8094940185547,168.3990020751953,163.60650634765625,165.593505859375,108788000
2021-05-04,GOOGL,114.7292632611338,115.29657305551342,111.9090738290094,114.3960189819336,44818000
2021-05-04,META,317.5281817062086,319.68129851653737,310.6819140012216,315.881103515625,24032600
2021-05-04,MSFT,240.8206636019488,241.05096316703924,235.8213518591053,237.76925659179688,32756100
2021-05-05,AAPL,125.84023086704354,127.05772538948398,124.6422204183204,124.7688446044922,84000900
2021-05-05,AMZN,166.9429931640625,167.73500061035156,163.21800231933594,163.52699279785156,74226000
2021-05-05,GOOGL,115.47708449305684,115.79297039823858,114.46792338467594,114.78976440429688,26636000
2021-05-05,META,315.712469321402,318.56011770266906,312.0412666392364,312.567138671875,15577600
2021-05-05,MSFT,238.987880033093,239.4100885439412,235.87891671087567,236.50262451171875,21901300
2021-05-06,AAPL,124.56429785702493,126.37593028448455,123.8240591134078,126.36619567871094,78128300
2021-05-06,AMZN,163.5,165.72000122070312,162.36000061035156,165.31849670410156,88954000
2021-05-06,GOOGL,114.37122673822532,115.90951538085938,113.71217637295206,115.90951538085938,25190000
2021-05-06,META,312.0710832071615,317.7465475313496,310.8308159184837,317.5282592773437,19012200
2021-05-06,MSFT,236.4834442394811,239.7555457646202,234.79462473056245,239.63079833984372,26491100
2021-05-07,AAPL,127.66379062246624,128.0637957522919,126.3271401858517,127.03937530517578,78973300
2021-05-07,AMZN,165.95449829101562,166.54449462890625,164.45350646972656,164.58050537109375,94206000
2021-05-07,GOOGL,117.22563540770174,117.59061507127338,116.34639717350244,116.63253021240234,28898000
2021-05-07,META,319.86978158576386,320.42541870358406,316.2680418642121,316.595458984375,15916700
2021-05-07,MSFT,241.9529667059604,244.0160287966021,241.01260232215404,242.2504425048828,27032900
2021-05-10,AAPL,126.25886120807225,126.38568557584613,123.72216543128324,123.76119232177734,88071200
2021-05-10,AMZN,164.11599731445312,164.14999389648438,159.5,159.52450561523438,116772000
2021-05-10,GOOGL,115.45277455769148,115.59460767080654,113.290644369783,113.648193359375,30914000
